published,title,link,source
"Wed, 05 Nov 2025 22:00:04 GMT",Crime fixer caught by BBC offering to erase £60k fines on migrant workers,https://www.bbc.com/news/articles/ce3kevkl3pdo?at_medium=RSS&at_campaign=rss,BBC
"Thu, 06 Nov 2025 14:14:51 GMT",Nancy Pelosi announces retirement after decades in US Congress,https://www.bbc.com/news/articles/ce3xw3dw0zxo?at_medium=RSS&at_campaign=rss,BBC
"Thu, 06 Nov 2025 13:32:34 GMT",Bank says inflation has 'peaked' as it holds interest rates,https://www.bbc.com/news/articles/c77zkg5504eo?at_medium=RSS&at_campaign=rss,BBC
"Thu, 06 Nov 2025 12:16:55 GMT",Celebrity Traitors final briefly uploaded 24 hours early outside UK,https://www.bbc.com/news/articles/c24ldv0p67yo?at_medium=RSS&at_campaign=rss,BBC
"Thu, 06 Nov 2025 00:04:46 GMT","ADHD services shutting door to new NHS patients as demand soars, BBC finds",https://www.bbc.com/news/articles/c4gpl150ze4o?at_medium=RSS&at_campaign=rss,BBC
"Thu, 06 Nov 2025 14:05:09 GMT",Man who murdered 'Good Samaritan' after ploughing car into him during wedding brawl jailed,https://www.bbc.com/news/articles/cm2lxm71r7lo?at_medium=RSS&at_campaign=rss,BBC
"Thu, 06 Nov 2025 14:08:35 GMT","Martine Croxall broke rules over 'pregnant people' facial expression, BBC says",https://www.bbc.com/news/articles/c3epwz08ewzo?at_medium=RSS&at_campaign=rss,BBC
"Wed, 05 Nov 2025 20:49:59 GMT",Chris Mason: The justice system is failing - the buck stops with Lammy,https://www.bbc.com/news/articles/crmx82ng9gyo?at_medium=RSS&at_campaign=rss,BBC
"Thu, 06 Nov 2025 09:27:08 GMT",Are Christians being persecuted in Nigeria as Trump claims?,https://www.bbc.com/news/articles/cgqlzkdeeqjo?at_medium=RSS&at_campaign=rss,BBC
"Wed, 05 Nov 2025 22:00:41 GMT",Watch: BBC reporter confronts man at centre of illegal worker network,https://www.bbc.com/news/videos/cgr4dr4rp74o?at_medium=RSS&at_campaign=rss,BBC
